/bin          常用的命令
/boot         启动的时候用到的文件等
/dev          外部设备
/etc          配置文件 和 子目录
/home         用户主目录
/lib          动态链接库文件
/lost+found   非法关机之后产生的文件
/media        u盘等设备
/mnt          临时挂载文件系统 光驱 可直接查看
/opt          应用程序安装目录
/proc         虚拟的目录，在内存中，可以获取信息 更改里面的文件
/root         管理员目录
/sbin         管理员用等系统管理程序
/selinux      安全机制 存放的文件
/srv          服务启动后需要提取的数据
/sys          系统
/tmp          临时文件
/usr          应用程序和文件(重要)
/usr/bin      应用程序
/usr/sbin     管理员使用的高级管理程序和系统守护程序
/usr/src      源代码
/var          可扩充的文件 log
